Date,Stations,Max_Temp
01-06-1970,Barisal,33.2
01-06-1970,Bhola,33.6
01-06-1970,Bogra,34.3
01-06-1970,Dinajpur,35.6
01-06-1970,Ishurdi,35.8
01-06-1970,Khulna,****
01-06-1970,Rajshahi,****
01-06-1970,Rangpur,33.3
01-06-1970,Satkhira,35
01-06-1970,Srimangal,30
01-06-1970,Sylhet,28.3
02-06-1970,Barisal,31.8
02-06-1970,Bhola,34.1
02-06-1970,Bogra,29.4
02-06-1970,Dinajpur,28.9
02-06-1970,Ishurdi,34.6
02-06-1970,Khulna,****
02-06-1970,Rajshahi,****
02-06-1970,Rangpur,32.2
02-06-1970,Satkhira,34.4
02-06-1970,Srimangal,26.1
02-06-1970,Sylhet,25.6
03-06-1970,Barisal,30.6
03-06-1970,Bhola,34.7
03-06-1970,Bogra,32.2
03-06-1970,Dinajpur,30
03-06-1970,Ishurdi,32.8
03-06-1970,Khulna,30.4
03-06-1970,Rajshahi,****
03-06-1970,Rangpur,30.6
03-06-1970,Satkhira,30.9
03-06-1970,Srimangal,27.8
03-06-1970,Sylhet,28.9
04-06-1970,Barisal,30.9
04-06-1970,Bhola,33
04-06-1970,Bogra,31.7
04-06-1970,Dinajpur,30
04-06-1970,Ishurdi,35.3
04-06-1970,Khulna,31.7
04-06-1970,Rajshahi,****
04-06-1970,Rangpur,30.2
04-06-1970,Satkhira,33.2
04-06-1970,Srimangal,30.6
04-06-1970,Sylhet,30
05-06-1970,Barisal,31.7
05-06-1970,Bhola,34
05-06-1970,Bogra,32.2
05-06-1970,Dinajpur,30
05-06-1970,Ishurdi,35.2
05-06-1970,Khulna,33.9
05-06-1970,Rajshahi,****
05-06-1970,Rangpur,26.1
05-06-1970,Satkhira,34.1
05-06-1970,Srimangal,32.8
05-06-1970,Sylhet,31.7
06-06-1970,Barisal,30.7
06-06-1970,Bhola,33.6
06-06-1970,Bogra,29.4
06-06-1970,Dinajpur,30.6
06-06-1970,Ishurdi,32.8
06-06-1970,Khulna,32.8
06-06-1970,Rajshahi,****
06-06-1970,Rangpur,30.6
06-06-1970,Satkhira,32.8
06-06-1970,Srimangal,32.2
06-06-1970,Sylhet,32.8
07-06-1970,Barisal,30
07-06-1970,Bhola,30.2
07-06-1970,Bogra,26.7
07-06-1970,Dinajpur,31.1
07-06-1970,Ishurdi,27.9
07-06-1970,Khulna,****
07-06-1970,Rajshahi,****
07-06-1970,Rangpur,31.3
07-06-1970,Satkhira,33
07-06-1970,Srimangal,32.8
07-06-1970,Sylhet,****
08-06-1970,Barisal,29.3
08-06-1970,Bhola,31.7
08-06-1970,Bogra,27.2
08-06-1970,Dinajpur,26.7
08-06-1970,Ishurdi,28.4
08-06-1970,Khulna,32.2
08-06-1970,Rajshahi,****
08-06-1970,Rangpur,30.1
08-06-1970,Satkhira,29.5
08-06-1970,Srimangal,33.3
08-06-1970,Sylhet,33.9
09-06-1970,Barisal,30.3
09-06-1970,Bhola,33.2
09-06-1970,Bogra,33.3
09-06-1970,Dinajpur,32.8
09-06-1970,Ishurdi,37.1
09-06-1970,Khulna,29.7
09-06-1970,Rajshahi,****
09-06-1970,Rangpur,30.8
09-06-1970,Satkhira,29.4
09-06-1970,Srimangal,35
09-06-1970,Sylhet,35
10-06-1970,Barisal,30
10-06-1970,Bhola,32.9
10-06-1970,Bogra,31.7
10-06-1970,Dinajpur,31.1
10-06-1970,Ishurdi,30.8
10-06-1970,Khulna,30.1
10-06-1970,Rajshahi,****
10-06-1970,Rangpur,31.7
10-06-1970,Satkhira,31.3
10-06-1970,Srimangal,33.3
10-06-1970,Sylhet,35
11-06-1970,Barisal,30.7
11-06-1970,Bhola,33.6
11-06-1970,Bogra,30
11-06-1970,Dinajpur,32.2
11-06-1970,Ishurdi,33.2
11-06-1970,Khulna,34.7
11-06-1970,Rajshahi,****
11-06-1970,Rangpur,32.8
11-06-1970,Satkhira,31.7
11-06-1970,Srimangal,32.2
11-06-1970,Sylhet,31.7
12-06-1970,Barisal,32.5
12-06-1970,Bhola,34.1
12-06-1970,Bogra,33.3
12-06-1970,Dinajpur,33.3
12-06-1970,Ishurdi,34
12-06-1970,Khulna,34.7
12-06-1970,Rajshahi,****
12-06-1970,Rangpur,33.8
12-06-1970,Satkhira,30.6
12-06-1970,Srimangal,32.8
12-06-1970,Sylhet,30.6
13-06-1970,Barisal,33.7
13-06-1970,Bhola,34.7
13-06-1970,Bogra,35
13-06-1970,Dinajpur,36.7
13-06-1970,Ishurdi,34.3
13-06-1970,Khulna,36.7
13-06-1970,Rajshahi,****
13-06-1970,Rangpur,34.2
13-06-1970,Satkhira,30
13-06-1970,Srimangal,33.9
13-06-1970,Sylhet,33.9
14-06-1970,Barisal,31.4
14-06-1970,Bhola,33
14-06-1970,Bogra,****
14-06-1970,Dinajpur,35
14-06-1970,Ishurdi,33.7
14-06-1970,Khulna,****
14-06-1970,Rajshahi,****
14-06-1970,Rangpur,36.7
14-06-1970,Satkhira,31.1
14-06-1970,Srimangal,35
14-06-1970,Sylhet,35
15-06-1970,Barisal,30.6
15-06-1970,Bhola,34
15-06-1970,Bogra,31.7
15-06-1970,Dinajpur,32.2
15-06-1970,Ishurdi,31.8
15-06-1970,Khulna,32.2
15-06-1970,Rajshahi,****
15-06-1970,Rangpur,36.4
15-06-1970,Satkhira,30
15-06-1970,Srimangal,32.2
15-06-1970,Sylhet,32.2
16-06-1970,Barisal,31.4
16-06-1970,Bhola,33.6
16-06-1970,Bogra,29.6
16-06-1970,Dinajpur,31.7
16-06-1970,Ishurdi,31.7
