Date,Stations,Max_Temp
01-03-1970,Barisal,****
01-04-1970,Barisal,32.8
01-05-1970,Barisal,34.4
01-06-1970,Barisal,33.2
01-03-1970,Bhola,31.8
01-04-1970,Bhola,32.3
01-05-1970,Bhola,35.1
01-06-1970,Bhola,33.6
01-03-1970,Bogra,****
01-04-1970,Bogra,36.1
01-05-1970,Bogra,43.6
01-06-1970,Bogra,34.3
01-03-1970,Dinajpur,28
01-04-1970,Dinajpur,36.7
01-05-1970,Dinajpur,38.4
01-06-1970,Dinajpur,35.6
01-03-1970,Ishurdi,29.4
01-04-1970,Ishurdi,35
01-05-1970,Ishurdi,41.7
01-06-1970,Ishurdi,35.8
01-03-1970,Jessore,31
01-04-1970,Jessore,34.3
01-05-1970,Jessore,36.9
01-06-1970,Jessore,35.4
01-03-1970,Khulna,****
01-04-1970,Khulna,35.7
01-05-1970,Khulna,****
01-06-1970,Khulna,****
01-03-1970,Rajshahi,****
01-04-1970,Rajshahi,****
01-05-1970,Rajshahi,****
01-06-1970,Rajshahi,****
01-03-1970,Rangpur,26.1
01-04-1970,Rangpur,37.9
01-05-1970,Rangpur,****
01-06-1970,Rangpur,33.3
01-03-1970,Satkhira,32.1
01-04-1970,Satkhira,33.9
01-05-1970,Satkhira,36.6
01-06-1970,Satkhira,35
01-03-1970,Srimangal,30.5
01-04-1970,Srimangal,33.3
01-05-1970,Srimangal,36.6
01-06-1970,Srimangal,30
01-03-1970,Sylhet,27.2
01-04-1970,Sylhet,29.4
01-05-1970,Sylhet,33.3
01-06-1970,Sylhet,28.3
02-03-1970,Barisal,31.4
02-04-1970,Barisal,32.8
02-05-1970,Barisal,34.3
02-06-1970,Barisal,31.8
02-03-1970,Bhola,30.2
02-04-1970,Bhola,29.6
02-05-1970,Bhola,35.7
02-06-1970,Bhola,34.1
02-03-1970,Bogra,****
02-04-1970,Bogra,32.9
02-05-1970,Bogra,****
02-06-1970,Bogra,29.4
02-03-1970,Dinajpur,27.8
02-04-1970,Dinajpur,33.3
02-05-1970,Dinajpur,38.3
02-06-1970,Dinajpur,28.9
02-03-1970,Ishurdi,29.6
02-04-1970,Ishurdi,33.3
02-05-1970,Ishurdi,42.2
02-06-1970,Ishurdi,34.6
02-03-1970,Jessore,****
02-04-1970,Jessore,31.7
02-05-1970,Jessore,37.2
02-06-1970,Jessore,35.2
02-03-1970,Khulna,34.1
02-04-1970,Khulna,33.3
02-05-1970,Khulna,33.9
02-06-1970,Khulna,****
02-03-1970,Rajshahi,****
02-04-1970,Rajshahi,****
02-05-1970,Rajshahi,****
02-06-1970,Rajshahi,****
02-03-1970,Rangpur,27.1
02-04-1970,Rangpur,38
02-05-1970,Rangpur,38.9
02-06-1970,Rangpur,32.2
02-03-1970,Satkhira,31.6
02-04-1970,Satkhira,34.1
02-05-1970,Satkhira,36.6
02-06-1970,Satkhira,34.4
02-03-1970,Srimangal,31.1
02-04-1970,Srimangal,32.2
02-05-1970,Srimangal,36.6
02-06-1970,Srimangal,26.1
02-03-1970,Sylhet,28.3
02-04-1970,Sylhet,30.6
02-05-1970,Sylhet,30.6
02-06-1970,Sylhet,25.6
03-03-1970,Barisal,27.7
03-04-1970,Barisal,32.8
03-05-1970,Barisal,35
03-06-1970,Barisal,30.6
03-03-1970,Bhola,29.7
03-04-1970,Bhola,31.5
03-05-1970,Bhola,35.2
03-06-1970,Bhola,34.7
03-03-1970,Bogra,****
03-04-1970,Bogra,34.4
03-05-1970,Bogra,38.7
03-06-1970,Bogra,32.2
03-03-1970,Dinajpur,25
03-04-1970,Dinajpur,35
03-05-1970,Dinajpur,36.7
03-06-1970,Dinajpur,30
03-03-1970,Ishurdi,25.3
03-04-1970,Ishurdi,33.4
03-05-1970,Ishurdi,39.3
03-06-1970,Ishurdi,32.8
03-03-1970,Jessore,21.1
03-04-1970,Jessore,31.3
03-05-1970,Jessore,37.2
03-06-1970,Jessore,32.8
03-03-1970,Khulna,26.6
03-04-1970,Khulna,****
03-05-1970,Khulna,33.9
03-06-1970,Khulna,30.4
03-03-1970,Rajshahi,****
03-04-1970,Rajshahi,****
03-05-1970,Rajshahi,****
03-06-1970,Rajshahi,****
03-03-1970,Rangpur,26.7
03-04-1970,Rangpur,****
03-05-1970,Rangpur,39.1
03-06-1970,Rangpur,30.6
03-03-1970,Satkhira,26
03-04-1970,Satkhira,31.1
03-05-1970,Satkhira,36.6
03-06-1970,Satkhira,30.9
03-03-1970,Srimangal,23.8
03-04-1970,Srimangal,31.6
03-05-1970,Srimangal,36.9
03-06-1970,Srimangal,27.8
03-03-1970,Sylhet,24.4
03-04-1970,Sylhet,30.6
03-05-1970,Sylhet,32.8
03-06-1970,Sylhet,28.9
04-03-1970,Barisal,23.2
04-04-1970,Barisal,31.7
04-05-1970,Barisal,34.8
04-06-1970,Barisal,30.9
04-03-1970,Bhola,24.2
04-04-1970,Bhola,31.9
04-05-1970,Bhola,35.2
04-06-1970,Bhola,33
04-03-1970,Bogra,26.1
04-04-1970,Bogra,34.4
04-05-1970,Bogra,36
04-06-1970,Bogra,31.7
04-03-1970,Dinajpur,28.3
04-04-1970,Dinajpur,35.7
04-05-1970,Dinajpur,35.6
04-06-1970,Dinajpur,30
04-03-1970,Ishurdi,25.8
04-04-1970,Ishurdi,34.4
04-05-1970,Ishurdi,****
04-06-1970,Ishurdi,35.3
04-03-1970,Jessore,23.7
04-04-1970,Jessore,32.8
04-05-1970,Jessore,37.2
04-06-1970,Jessore,33.6
04-03-1970,Khulna,23.6
04-04-1970,Khulna,****
04-05-1970,Khulna,36.3
04-06-1970,Khulna,31.7
04-03-1970,Rajshahi,****
04-04-1970,Rajshahi,****
04-05-1970,Rajshahi,****
04-06-1970,Rajshahi,****
04-03-1970,Rangpur,28.4
04-04-1970,Rangpur,38.7
04-05-1970,Rangpur,38.5
04-06-1970,Rangpur,30.2
04-03-1970,Satkhira,20.6
04-04-1970,Satkhira,32.8
04-05-1970,Satkhira,36.8
04-06-1970,Satkhira,33.2
04-03-1970,Srimangal,26.6
04-04-1970,Srimangal,31.6
04-05-1970,Srimangal,36.1
04-06-1970,Srimangal,30.6
04-03-1970,Sylhet,****
04-04-1970,Sylhet,31.7
04-05-1970,Sylhet,33.9
04-06-1970,Sylhet,30
05-03-1970,Barisal,22.8
05-04-1970,Barisal,32.8
05-05-1970,Barisal,33.9
05-06-1970,Barisal,31.7
05-03-1970,Bhola,23
05-04-1970,Bhola,33
05-05-1970,Bhola,34.2
05-06-1970,Bhola,34
05-03-1970,Bogra,26
05-04-1970,Bogra,37.2
05-05-1970,Bogra,35
05-06-1970,Bogra,32.2
05-03-1970,Dinajpur,27.8
05-04-1970,Dinajpur,35
05-05-1970,Dinajpur,31.7
05-06-1970,Dinajpur,30
05-03-1970,Ishurdi,25.2
05-04-1970,Ishurdi,****
05-05-1970,Ishurdi,****
05-06-1970,Ishurdi,35.2
05-03-1970,Jessore,21.9
05-04-1970,Jessore,34.7
05-05-1970,Jessore,35.6
05-06-1970,Jessore,33.6
05-03-1970,Khulna,21.1
05-04-1970,Khulna,****
05-05-1970,Khulna,36.7
05-06-1970,Khulna,33.9
05-03-1970,Rajshahi,****
05-04-1970,Rajshahi,****
05-05-1970,Rajshahi,****
05-06-1970,Rajshahi,****
05-03-1970,Rangpur,25.3
05-04-1970,Rangpur,38.9
05-05-1970,Rangpur,36.1
05-06-1970,Rangpur,26.1
05-03-1970,Satkhira,21.1
