Date,Stations,Min_Temp
01-06-1970,Barisal,27.1
01-07-1970,Barisal,23.5
01-08-1970,Barisal,24.1
01-09-1970,Barisal,24.5
01-10-1970,Barisal,25.6
01-11-1970,Barisal,22.9
01-06-1970,Bhola,24.6
01-07-1970,Bhola,****
01-08-1970,Bhola,25.3
01-09-1970,Bhola,24.6
01-10-1970,Bhola,26.6
01-11-1970,Bhola,23.5
01-06-1970,Bogra,24.9
01-07-1970,Bogra,25.2
01-08-1970,Bogra,26
01-09-1970,Bogra,26.6
01-10-1970,Bogra,23.3
01-11-1970,Bogra,21.7
01-06-1970,Dinajpur,24.4
01-07-1970,Dinajpur,23.9
01-08-1970,Dinajpur,25.1
01-09-1970,Dinajpur,26.1
01-10-1970,Dinajpur,25.1
01-11-1970,Dinajpur,22.3
01-06-1970,Ishurdi,27.2
01-07-1970,Ishurdi,23.9
01-08-1970,Ishurdi,23.9
01-09-1970,Ishurdi,24.9
01-10-1970,Ishurdi,24.8
01-11-1970,Ishurdi,****
01-06-1970,Jessore,26.9
01-07-1970,Jessore,24.1
01-08-1970,Jessore,24.9
01-09-1970,Jessore,25
01-10-1970,Jessore,25.8
01-11-1970,Jessore,23.8
01-06-1970,Khulna,****
01-07-1970,Khulna,****
01-08-1970,Khulna,26.7
01-09-1970,Khulna,25.6
01-10-1970,Khulna,25.6
01-11-1970,Khulna,****
01-06-1970,Rajshahi,****
01-07-1970,Rajshahi,****
01-08-1970,Rajshahi,****
01-09-1970,Rajshahi,****
01-10-1970,Rajshahi,****
01-11-1970,Rajshahi,****
01-06-1970,Rangpur,22.4
01-07-1970,Rangpur,24.9
01-08-1970,Rangpur,24.7
01-09-1970,Rangpur,26.2
01-10-1970,Rangpur,23.6
01-11-1970,Rangpur,20.3
01-06-1970,Satkhira,25.6
01-07-1970,Satkhira,23.3
01-08-1970,Satkhira,23.3
01-09-1970,Satkhira,25
01-10-1970,Satkhira,26.1
01-11-1970,Satkhira,24.4
01-06-1970,Srimangal,25
01-07-1970,Srimangal,24.7
01-08-1970,Srimangal,25
01-09-1970,Srimangal,24.4
01-10-1970,Srimangal,24.2
01-11-1970,Srimangal,23.3
01-06-1970,Sylhet,21.1
01-07-1970,Sylhet,21.7
01-08-1970,Sylhet,25
01-09-1970,Sylhet,24.4
01-10-1970,Sylhet,23.3
01-11-1970,Sylhet,21.7
02-06-1970,Barisal,27.1
02-07-1970,Barisal,23.6
02-08-1970,Barisal,24.6
02-09-1970,Barisal,23.5
02-10-1970,Barisal,25
02-11-1970,Barisal,23
02-06-1970,Bhola,25.3
02-07-1970,Bhola,****
02-08-1970,Bhola,26.9
02-09-1970,Bhola,23.6
02-10-1970,Bhola,24.7
02-11-1970,Bhola,23.4
02-06-1970,Bogra,22.7
02-07-1970,Bogra,25.5
02-08-1970,Bogra,27.2
02-09-1970,Bogra,26
02-10-1970,Bogra,23.9
02-11-1970,Bogra,23.9
02-06-1970,Dinajpur,23.3
02-07-1970,Dinajpur,26.2
02-08-1970,Dinajpur,26.7
02-09-1970,Dinajpur,26.1
02-10-1970,Dinajpur,24.5
02-11-1970,Dinajpur,21.7
02-06-1970,Ishurdi,27.6
02-07-1970,Ishurdi,24.4
02-08-1970,Ishurdi,26.9
02-09-1970,Ishurdi,25
02-10-1970,Ishurdi,24.4
02-11-1970,Ishurdi,****
02-06-1970,Jessore,26.5
02-07-1970,Jessore,24.8
02-08-1970,Jessore,27.2
02-09-1970,Jessore,24.9
02-10-1970,Jessore,24.2
02-11-1970,Jessore,22.3
02-06-1970,Khulna,****
02-07-1970,Khulna,25.2
02-08-1970,Khulna,25.2
02-09-1970,Khulna,24.4
02-10-1970,Khulna,25
02-11-1970,Khulna,21.7
02-06-1970,Rajshahi,****
02-07-1970,Rajshahi,****
02-08-1970,Rajshahi,****
02-09-1970,Rajshahi,****
02-10-1970,Rajshahi,****
02-11-1970,Rajshahi,****
02-06-1970,Rangpur,21.9
02-07-1970,Rangpur,24.7
02-08-1970,Rangpur,24.7
02-09-1970,Rangpur,25.9
02-10-1970,Rangpur,23.4
02-11-1970,Rangpur,20
02-06-1970,Satkhira,25.6
02-07-1970,Satkhira,****
02-08-1970,Satkhira,26.7
02-09-1970,Satkhira,25
02-10-1970,Satkhira,25
02-11-1970,Satkhira,23.3
02-06-1970,Srimangal,23.9
02-07-1970,Srimangal,25
02-08-1970,Srimangal,25.6
02-09-1970,Srimangal,23.9
02-10-1970,Srimangal,23.3
02-11-1970,Srimangal,22.8
02-06-1970,Sylhet,22.2
02-07-1970,Sylhet,25
02-08-1970,Sylhet,23.9
02-09-1970,Sylhet,25.6
02-10-1970,Sylhet,23.3
02-11-1970,Sylhet,21.1
03-06-1970,Barisal,23.6
03-07-1970,Barisal,25.5
03-08-1970,Barisal,26.9
03-09-1970,Barisal,23.5
03-10-1970,Barisal,25
03-11-1970,Barisal,22.6
03-06-1970,Bhola,25.4
03-07-1970,Bhola,****
03-08-1970,Bhola,27
03-09-1970,Bhola,24
03-10-1970,Bhola,24.5
03-11-1970,Bhola,22.5
03-06-1970,Bogra,24.9
03-07-1970,Bogra,25.4
03-08-1970,Bogra,27.1
03-09-1970,Bogra,25.6
03-10-1970,Bogra,****
03-11-1970,Bogra,21.1
03-06-1970,Dinajpur,24.4
03-07-1970,Dinajpur,****
03-08-1970,Dinajpur,24.4
03-09-1970,Dinajpur,26.1
03-10-1970,Dinajpur,22.8
03-11-1970,Dinajpur,21.7
03-06-1970,Ishurdi,22.9
03-07-1970,Ishurdi,26
03-08-1970,Ishurdi,26.3
03-09-1970,Ishurdi,24.9
03-10-1970,Ishurdi,22.8
03-11-1970,Ishurdi,****
03-06-1970,Jessore,22.8
03-07-1970,Jessore,25.5
03-08-1970,Jessore,26.6
03-09-1970,Jessore,23.9
03-10-1970,Jessore,24.5
03-11-1970,Jessore,21.8
03-06-1970,Khulna,****
03-07-1970,Khulna,25.8
03-08-1970,Khulna,27.3
03-09-1970,Khulna,****
03-10-1970,Khulna,25
