Date,Stations,Min_Temp
01-03-1970,Barisal,17.9
01-04-1970,Barisal,25.6
01-05-1970,Barisal,27.7
01-06-1970,Barisal,27.1
01-03-1970,Bhola,18.4
01-04-1970,Bhola,25.5
01-05-1970,Bhola,26.5
01-06-1970,Bhola,24.6
01-03-1970,Bogra,****
01-04-1970,Bogra,21.7
01-05-1970,Bogra,26.1
01-06-1970,Bogra,24.9
01-03-1970,Dinajpur,14.6
01-04-1970,Dinajpur,21.7
01-05-1970,Dinajpur,26.2
01-06-1970,Dinajpur,24.4
01-03-1970,Ishurdi,16
01-04-1970,Ishurdi,22.6
01-05-1970,Ishurdi,27.1
01-06-1970,Ishurdi,27.2
01-03-1970,Jessore,16.6
01-04-1970,Jessore,24.9
01-05-1970,Jessore,27.4
01-06-1970,Jessore,26.9
01-03-1970,Khulna,18.9
01-04-1970,Khulna,26.7
01-05-1970,Khulna,28.2
01-06-1970,Khulna,****
01-03-1970,Rajshahi,****
01-04-1970,Rajshahi,****
01-05-1970,Rajshahi,****
01-06-1970,Rajshahi,****
01-03-1970,Rangpur,12.2
01-04-1970,Rangpur,17.9
01-05-1970,Rangpur,22.9
01-06-1970,Rangpur,22.4
01-03-1970,Satkhira,17.5
01-04-1970,Satkhira,23.6
01-05-1970,Satkhira,26.1
01-06-1970,Satkhira,25.6
01-03-1970,Srimangal,13.2
01-04-1970,Srimangal,23.8
01-05-1970,Srimangal,26.1
01-06-1970,Srimangal,25
01-03-1970,Sylhet,16.1
01-04-1970,Sylhet,19.4
01-05-1970,Sylhet,23.9
01-06-1970,Sylhet,21.1
02-03-1970,Barisal,20.5
02-04-1970,Barisal,20
02-05-1970,Barisal,27.5
02-06-1970,Barisal,27.1
02-03-1970,Bhola,18.9
02-04-1970,Bhola,21.6
02-05-1970,Bhola,26.7
02-06-1970,Bhola,25.3
02-03-1970,Bogra,****
02-04-1970,Bogra,21
02-05-1970,Bogra,27.8
02-06-1970,Bogra,22.7
02-03-1970,Dinajpur,17.8
02-04-1970,Dinajpur,22.8
02-05-1970,Dinajpur,25.1
02-06-1970,Dinajpur,23.3
02-03-1970,Ishurdi,16.1
02-04-1970,Ishurdi,21.7
02-05-1970,Ishurdi,27.8
