Temp_Max,tmin,rh,rain,sunshine,windsp
26.7,13,80,0,9.6,0
25.6,10.5,80,0,9.5,2
30.6,22.5,82,0,8,0
27.7,10.4,75,0,9.7,0
30.6,24.6,89,5,5.7,0
25.5,12.4,78,0,11,3.5
31.1,24,78,50,9,6.5
30,19.5,80,0,8.7,0
25,17.5,83,0,9.8,2.1
28.7,15.1,77,0,9.2,2
33.5,23.5,77,0,9.8,2.7
30,26,86,17,0,1.3
31.1,25.3,83,0,8.3,4.3
31.9,25.8,83,0,9.4,2
32.2,25.6,82,0,8.1,2
32.2,25,79,0,11.8,0
32.3,24.4,76,0,11.3,2
32.3,25,76,0,11.3,0
32.2,24.4,79,0,11,5
32.8,24.4,79,0,11.3,6.7
32.2,23.6,79,0,11.5,7.5
32.4,24.1,78,0,11.3,2
32.9,23.9,78,0,10,2
32.8,23.4,78,0,7.6,2
24.4,22.3,95,40,0,4
23.2,22.2,97,41,0,6.3
26.7,21.1,89,65,6.1,3
30.3,22.3,83,0,11.8,2
29.4,22.6,82,0,8.5,4
30.3,21.7,78,0,11.3,2
31.3,22.8,76,0,10.4,5
31.7,24.4,77,0,9.7,0
29.4,23.8,85,0,5.7,0
29.4,24.6,83,5,10.2,2
28,15.4,77,0,6.1,0
32.8,22.8,86,0,10.3,1
32.2,22.8,85,0,10.3,1
32.2,22.8,83,0,11.3,1.5
32.2,22.2,83,0,11.7,1.5
32.8,21.7,79,0,11.7,2
32.2,22.2,84,0,10.4,2
33.9,21.7,79,0,11.7,1
33.3,22.2,77,0,11.8,2
32.8,21.7,77,0,11.7,1
32.2,21.7,74,0,11.8,2
31.7,21.7,70,0,10.9,1.8
24.4,22.8,92,0,0,3.3
25,21.7,87,17,0,2
25,22.2,95,76,0,1
25,22.2,95,12,2.2,2
30.6,21.1,85,5,11.1,2
32.2,20.6,81,0,11.2,1
32.8,20.6,81,0,10.2,2
31.7,23.9,82,0,7.4,0
31.7,23.9,87,0,4.4,2
32.2,22.8,83,0,7.9,1
29.7,21.7,84,0,5.7,2
26.6,20.6,85,18,0.7,0
23.6,21.1,90,6,0,2
28,21.1,77,8,4.5,2
28.1,19.8,75,0,11,2
27.6,16.1,61,0,10.9,0
27.7,13.1,71,0,10.5,5
27.4,16.8,71,0,10.7,0
27.3,16.7,74,0,10.5,3
27.4,17.4,71,0,10.7,0
26.9,17.1,74,0,10,0
26.9,17.6,64,0,10.6,0
26.1,14.4,66,0,10.5,0
26.7,15,71,0,10.4,0
26.4,15.6,72,0,10.8,2
26.7,16.4,69,0,10.5,0
25.6,15.6,69,0,10.7,0
25.7,15.1,74,0,9.9,0
26.4,15.8,68,0,10.6,0
23.2,15.7,83,0,0.8,0
25.8,16.1,79,0,7,3
27.5,16,77,0,9,5.2
28.9,20,71,0,9.3,2
28.3,20,79,0,6.1,1.7
23.9,20.6,82,1,0,2
25,20,80,6,0.1,1.5
27.8,20,85,3,7.6,2
27.8,18.3,85,0,8.5,1
27.2,17.2,79,0,10.7,1
27.2,13.9,74,0,10.6,2
27.2,16.1,76,0,10.6,2
27.2,15,76,0,10.5,1
